SampleLogFunc,Average,LogStandardDeviation,Cutoff
-14934.634,-.34905381E-01,-.23121923E-01,.69303734
-14934.799,-.81015742E-02,-.12730799E-01,.69303164
-14936.278,-.11887691E-01,.53670246E-02,.69306809
-14934.781,-.39958607E-01,-.16973050E-01,.69300259
-14934.343,-.21314107E-01,-.12090623E-01,.69307386
-14934.718,-.13129771E-01,-.49039675E-02,.69310460
-14936.918,.13471259E-01,-.26020304E-03,.69319750
-14938.795,-.21808197E-01,-.13753747E-01,.69380112
-14940.916,.13793406E-01,.25466304E-01,.69313983
-14934.943,-.37265693E-01,-.13040685E-01,.69299858
-14936.256,-.87875387E-02,.13681695E-02,.69325536
-14934.195,-.14203807E-01,-.13650848E-01,.69300236
-14934.409,-.84008156E-02,-.12287598E-02,.69301576
-14937.583,-.10079427E-01,-.20882499E-02,.69353859
-14936.279,-.45589244E-01,-.16986493E-01,.69312328
-14936.705,.51061162E-02,-.37748856E-02,.69327908
-14935.428,-.31126572E-01,-.21268515E-01,.69319346
-14935.250,-.23402607E-01,-.19533964E-01,.69315297
-14935.146,-.16119356E-01,-.83455269E-02,.69319862
-14934.921,-.37466197E-01,-.23200303E-01,.69307835
-14934.869,-.39773001E-01,-.20319373E-01,.69305751
-14936.075,-.49029145E-01,-.31504783E-01,.69309346
-14934.914,-.14767395E-01,-.13087661E-01,.69313390
-14936.566,-.16704724E-01,-.10198389E-01,.69343509
-14937.416,-.35835378E-01,-.60152504E-02,.69318236
-14936.560,-.45897549E-01,-.27767552E-01,.69325391
-14935.067,-.11076587E-01,-.51298426E-02,.69316647
-14935.805,-.18888177E-01,-.22971100E-01,.69306099
-14935.559,-.41461958E-02,.66480182E-02,.69301873
-14935.664,-.13472147E-01,-.19285602E-01,.69306918
-14934.682,-.24097450E-01,-.75536479E-02,.69305478
-14934.209,-.28154100E-01,-.18510326E-01,.69302202
-14940.387,-.13016584E-02,-.19489464E-01,.69344014
-14934.577,-.40167792E-01,-.21742893E-01,.69300782
-14936.145,-.47026449E-01,-.20503883E-01,.69314381
-14933.929,-.18972958E-01,-.10202842E-01,.69300489
-14935.101,-.25051039E-02,-.85493020E-02,.69307528
-14935.246,-.23549929E-01,-.18790873E-01,.69316885
-14935.102,.74991571E-02,.29516750E-03,.69302895
-14935.698,-.38401800E-01,-.16640030E-01,.69317858
-14934.580,-.49846130E-02,-.28781000E-02,.69306047
-14935.633,-.46294958E-01,-.27217949E-01,.69310005
-14936.709,-.43580530E-01,-.35960162E-01,.69304163
-14934.848,-.11836501E-01,-.16532724E-01,.69300064
-14940.006,-.62269987E-02,-.94713798E-02,.69390852
-14934.325,-.19421485E-01,-.14537344E-01,.69305466
-14935.699,-.10659950E-01,-.13835790E-01,.69319332
-14935.621,-.13550863E-01,-.16892085E-01,.69314706
-14934.572,-.11202292E-01,-.51461389E-02,.69308645
-14934.157,-.17954345E-01,-.86234818E-02,.69303544
-14939.743,-.61836994E-01,-.39330806E-01,.69343899
-14934.760,-.15181379E-01,-.12179469E-01,.69312337
-14935.284,-.40926682E-01,-.14840485E-01,.69301821
-14935.541,-.43142110E-01,-.16799616E-01,.69305736
-14939.001,-.15785898E-01,.68032760E-02,.69334515
-14934.866,-.32129428E-01,-.13831715E-01,.69309403
-14935.514,-.32920368E-01,-.10026332E-01,.69310352
-14935.450,-.18703911E-01,-.21995386E-01,.69303963
-14936.843,.39932611E-02,.47241682E-02,.69331377
-14934.348,-.16268327E-01,-.71047498E-02,.69305865
-14934.505,-.26764862E-01,-.95392609E-02,.69303214
-14936.258,-.29976213E-01,-.21714277E-01,.69331984
-14935.815,-.41521868E-01,-.23170630E-01,.69319935
-14937.331,-.59269536E-01,-.26656717E-01,.69312491
-14934.027,-.16471568E-01,-.72002270E-02,.69300653
-14937.612,.81392280E-02,-.16690848E-02,.69339741
-14934.079,-.16911140E-01,-.88235266E-02,.69302634
-14935.300,-.32251014E-01,-.10952582E-01,.69310695
-14934.473,-.43581348E-02,-.19263353E-02,.69303511
-14935.581,-.44362956E-01,-.27057482E-01,.69310913
-14936.076,-.24186994E-01,-.16348485E-01,.69334299
-14936.278,-.26079144E-01,-.85209658E-02,.69331208
-14934.339,-.34706372E-01,-.16241381E-01,.69300270
-14934.647,-.27875942E-01,-.83481015E-02,.69301045
-14937.033,.10438811E-01,.35885038E-02,.69330445
-14937.136,-.28944211E-01,-.71655340E-02,.69336639
-14935.840,-.99373390E-02,-.38340726E-02,.69328017
-14935.019,-.34581034E-01,-.27000437E-01,.69301587
-14934.755,-.40468053E-01,-.21049595E-01,.69303272
-14934.831,-.35078973E-01,-.20926637E-01,.69309191
-14936.375,-.58787017E-01,-.28484938E-01,.69300071
-14934.205,-.70213232E-02,-.71152305E-02,.69300999
-14936.472,.10349130E-01,-.65775403E-02,.69303931
-14935.026,-.93754139E-02,-.91432615E-02,.69314787
-14934.557,-.27309880E-01,-.21636449E-01,.69302518
-14934.175,-.17428331E-01,-.74741877E-02,.69302975
-14937.147,-.31035192E-01,-.18241078E-01,.69350523
-14934.788,-.13490647E-01,-.36876259E-02,.69309618
-14935.317,-.43830861E-01,-.29771076E-01,.69302111
-14934.280,-.16259409E-01,-.15353511E-01,.69300768
-14938.258,-.33192985E-01,-.29182531E-01,.69346310
-14934.925,-.14028127E-01,-.83729226E-02,.69316154
-14935.664,-.29311435E-01,-.89480746E-02,.69316909
-14935.515,-.18345730E-01,-.17041594E-01,.69319775
-14937.374,.19626686E-01,.14799415E-01,.69314161
-14936.326,-.22933802E-01,-.24501861E-01,.69316515
-14935.557,.29113266E-02,-.85441615E-02,.69303446
-14934.895,.62299953E-02,-.74258883E-03,.69300767
-14936.834,-.24227944E-01,-.21520758E-01,.69337192
-14935.755,-.37739297E-01,-.25196688E-01,.69319002
-14934.647,-.38881320E-01,-.23541797E-01,.69302274
-14934.342,-.39118015E-02,-.47821544E-02,.69301653
-14936.731,-.16877080E-01,-.25871688E-01,.69301416
-14934.122,-.17256599E-01,-.11367427E-01,.69303563
-14934.861,-.37065209E-01,-.22175049E-01,.69307885
-14937.080,.22341781E-01,.89221974E-02,.69313265
