SampleLogFunc,Average,LogStandardDeviation,Cutoff
-14938.439,.21331601E-01,.73686429E-02,.69335964
-14937.034,.12418191E-01,.44750369E-02,.69327842
-14935.688,-.10098197E-01,-.18984784E-01,.69300289
-14934.529,-.23263508E-01,-.19814151E-01,.69302708
-14935.961,-.96059455E-02,-.12714250E-01,.69324479
-14935.746,-.37829177E-01,-.20215491E-01,.69322558
-14934.382,-.17806545E-01,-.76600827E-02,.69306391
-14934.382,-.17806545E-01,-.76600827E-02,.69306391
-14935.274,.45667525E-02,.55799787E-02,.69304718
-14935.861,.24218855E-02,.99589700E-02,.69301097
-14937.335,.17114191E-01,.10418859E-01,.69323361
-14936.381,-.46748408E-01,-.29265416E-01,.69319789
-14939.035,-.59670557E-01,-.46292189E-01,.69304577
-14938.790,-.25617481E-01,-.31045495E-01,.69329902
-14937.117,-.45427262E-01,-.17451440E-01,.69328086
-14935.756,-.28954376E-01,-.20500583E-01,.69325365
-14935.742,-.99269941E-02,.32160883E-02,.69310191
-14936.082,-.34367743E-01,-.17161201E-01,.69330410
-14935.389,-.47961811E-01,-.26354501E-01,.69304387
-14936.400,-.61881541E-02,-.90679337E-02,.69333313
-14935.115,-.42075131E-01,-.22457411E-01,.69307639
-14933.957,-.21991975E-01,-.10179699E-01,.69299793
-14934.565,-.23202701E-01,-.19900876E-01,.69303018
-14934.467,-.24982486E-01,-.10328302E-01,.69306022
-14934.755,-.10079222E-01,.82292708E-03,.69301552
-14934.601,-.76324704E-02,-.12049845E-01,.69300788
-14935.351,-.15496745E-01,-.49120131E-02,.69319670
-14937.137,-.78522732E-02,-.86066081E-02,.69347864
-14934.947,-.15464933E-01,-.51452027E-02,.69313484
-14935.760,-.17318543E-01,-.11681972E-01,.69330158
-14938.016,.89800306E-02,.30396541E-02,.69347900
-14938.772,-.40093243E-01,-.83217285E-02,.69337961
-14935.459,-.24623234E-01,-.76789442E-02,.69317827
-14934.947,-.23979445E-01,-.12842584E-01,.69316783
