ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,intercept,slope,logSigma
1,0,.94807023E-01,.0000000,7,21,-4.5511769,1.4256995,1.6000443,-.54566223
1,0,.95115629E-01,.0000000,7,4,-4.4951846,1.6284812,1.7603300,-.43818337
1,0,.95538868E-01,.0000000,7,1,-3.9653001,.96803106,2.0068737,-.34852018
1,0,.95916869E-01,.0000000,7,2,-2.6912106,1.3112303,2.0013655,-1.1738881
1,0,.95960654E-01,.70809114E-02,7,10,-3.4027236,1.3123024,1.7602909,-1.2351109
1,0,.96125473E-01,.0000000,7,10,-4.0733807,1.5592690,1.6309121,-.75768888
1,0,.96523386E-01,.0000000,7,5,-1.5901599,.96895279,2.1278385,-.91884757
1,0,.96217230E-01,.36944584E-02,7,15,-1.8837082,1.0334109,1.9277076,-1.2299387
1,0,.96631619E-01,.0000000,7,1,-1.6072061,1.0514152,1.9866084,-1.5205222
1,0,.97153370E-01,.0000000,7,21,-1.6927264,.86567845,2.1555025,-1.4632154
1,0,.97075956E-01,.56461924E-02,7,7,-2.6206542,.62517915,2.2746337,-1.0250273
1,0,.97408008E-01,.0000000,7,2,-2.6950362,1.0080885,2.2111415,-.77012808
1,0,.97671604E-01,.0000000,7,5,-1.3645289,1.1360615,2.0367887,-1.0511775
1,0,.97555278E-01,.0000000,7,3,-4.7201740,1.1017885,2.1865249,-1.4266266
1,0,.97858668E-01,.16249933E-02,7,4,-2.9635249,.63256550,2.2320573,-.71381961
1,0,.97896060E-01,.0000000,7,1,-4.6726860,.64321435,2.4941822,-.84907374
1,0,.98051993E-01,.0000000,7,1,-5.4827109,.87965255,2.4008048,-1.0803266
1,0,.97898191E-01,.15341083E-02,7,14,-2.6217540,.95963559,1.9294579,-1.2031616
1,0,.96036241E-01,.0000000,7,61,-1.1965416,1.0091619,1.9929219,-1.2773440
1,0,.96142103E-01,.0000000,7,4,-1.7194351,.86676458,2.1382499,-.89340791
1,0,.96450570E-01,.0000000,7,3,-1.3642951,.96755811,2.1559209,-1.1444731
1,0,.96640348E-01,.12840495E-01,7,14,-1.2814217,.98292341,2.0022134,-1.2907512
1,0,.96772085E-01,.0000000,7,8,-2.0373405,1.3097473,1.9091856,-1.2436450
1,0,.96642068E-01,.0000000,7,27,-2.0749521,1.2457718,1.9198768,-.82949180
1,0,.96250722E-01,.64382949E-02,7,23,-3.0472598,1.1258996,1.8677222,-.60709939
1,0,.96142001E-01,.0000000,7,13,-3.8097228,.97736679,2.0172427,-.37442346
1,0,.96154699E-01,.0000000,7,3,-4.9528322,1.3881167,1.5897945,-.41317538
1,0,.96347331E-01,.0000000,7,1,-5.5367658,1.6553941,1.9434081,-.69040956
1,0,.96693583E-01,.0000000,7,3,-2.5969959,1.0717220,1.8726145,-.80491153
1,0,.96732348E-01,.41763923E-02,7,1,-4.2591456,.84326970,2.3717904,-.46093078
1,0,.97103209E-01,.0000000,7,8,-3.7714701,1.1185485,2.1103742,-.41463713
1,0,.97326445E-01,.0000000,7,2,-4.0999169,1.2481142,1.9623481,-.33310024
1,0,.97590867E-01,.0000000,7,1,-4.4080101,1.3727335,1.6798226,-.40663997
1,0,.97965000E-01,.17322962E-02,7,1,-4.3376373,1.6100850,1.8618568,-.76433665
1,0,.98144984E-01,.0000000,7,2,-4.9819826,1.6089658,1.8454273,-.30863659
1,0,.98312302E-01,.0000000,7,4,-5.6683045,1.5504865,1.5272954,-.21050878
1,0,.98644275E-01,.0000000,7,2,-3.7684927,1.2701004,1.9031758,-.40601667
1,0,.98853402E-01,.37883752E-02,7,5,-3.5141537,1.3198595,1.7750714,-.54155350
1,0,.99119233E-01,.0000000,7,9,-3.1699889,1.1866797,1.8501294,-.57105248
1,0,.99686866E-01,.0000000,7,13,-2.9791129,.84991655,1.9628327,-.93048088
