SampleLogFunc,intercept,slope,logSigma
-1.4799299,.84877599,2.1960808,-1.1781157
-2.3208429,1.1853336,1.9071620,-1.5163683
-1.3019613,1.1041013,2.0737093,-1.2037257
-1.4443626,.84176609,2.1066588,-1.1164690
-2.3623301,1.2649236,1.8335284,-.83673581
-1.6212328,1.2161166,1.9957335,-1.2747144
-2.5667146,.86982029,1.9790814,-.92586765
-1.1650308,1.1354583,2.0192091,-1.1370444
-1.4240653,1.0958695,1.9987763,-1.5182226
-1.2537021,1.0494359,2.0311994,-.99788852
-2.4152926,.85684551,2.2313281,-1.4019864
-1.1457528,.95642253,2.0685719,-1.0663065
-1.2449154,1.1416155,2.0158037,-1.0863795
-1.2637093,1.1704774,2.0063367,-1.2103193
-2.0706319,1.1044224,1.8766881,-1.0284394
-7.3012278,2.1282901,1.4205204,.41388031E-01
-1.2694267,.85555622,2.1233230,-1.2313535
-1.3154706,.87164190,2.1498524,-1.3443463
-1.3154706,.87164190,2.1498524,-1.3443463
-4.4815947,.62990868,2.4975599,-.72023965
-1.7576268,.92678819,1.9968896,-1.1831393
-1.4032767,1.1299267,1.9379277,-1.0407135
-2.2851499,1.3525685,1.9140526,-.96512160
-4.2617447,.85384828,2.0150420,-.32592815
-2.1475021,.87665020,2.0135868,-1.2359542
-3.4896755,.96709765,2.3037993,-.85633628
-1.8205242,1.0424744,2.1534907,-1.1937306
-2.2972831,.67934010,2.2229227,-1.1290111
-5.4032121,1.0294566,2.4052114,-.52462661
-4.9434608,1.4783504,1.5891613,-.36383253
-5.7872795,.93644508,1.7354407,-.24963150
-3.5605353,.70055850,2.1178508,-.52897475
-2.1280231,1.1246700,1.9041014,-1.4236253
-2.2150270,.79693319,2.0881810,-.86731294
-1.5901889,1.0609531,2.0822016,-.92038937
-1.7939640,.88923297,2.0440206,-1.3610089
-2.7915486,1.2476297,2.0272500,-1.3710312
-3.0021375,.70377833,2.1309178,-1.2693037
-2.1306052,1.0298259,2.1836847,-1.1021560
-2.4121888,.75800893,2.1921224,-1.4237132
-1.9451316,.94025346,2.2097681,-.99725488
-2.4536390,1.3184049,1.8174089,-1.2193858
-1.2305490,1.0540708,1.9831070,-1.0668360
-3.5957483,1.5204057,1.7938183,-.62390839
-2.5204027,1.0813775,1.9301163,-.68902768
-4.0761809,.46103621,2.3706524,-.53146627
-4.5902126,1.6214537,1.5909706,-.52050719
-2.3908510,1.1955154,1.8199546,-1.0221350
-2.0047910,1.0480201,2.1069255,-.80937905
-4.8010745,.88036980,2.2901972,-1.4640436
-5.7622523,1.5213934,1.4762503,-.30528793
-1.1664968,1.1134407,2.0226919,-1.0827721
-1.9912107,.99846484,1.9649396,-.86463676
-1.6915474,1.1078720,1.9145586,-.99525442
-2.6235306,1.0645887,1.9082686,-.70427621
-3.9104896,.50311773,2.2040244,-.74119465
-4.0139187,.50890609,2.3566800,-.49728461
-2.8326095,.67976907,2.3235387,-1.1449140
-1.9243610,.92981620,2.0214771,-.86237358
-2.8676102,1.2845528,1.7940368,-.72528667
-5.1710328,1.5041246,1.5996826,-.26949042
-7.8726958,2.0909592,1.1615221,-.34932147
-5.2313032,1.0163453,1.7727661,-.24960528
-2.3639372,1.3701815,1.9055489,-1.0229645
-3.5765697,1.4643507,1.7171914,-.62835567
-3.0194018,1.4075067,1.7947755,-.70306953
-3.3969794,1.3182724,1.8484622,-.51535879
-1.6139595,.80515260,2.1616948,-1.3045004
-4.8546919,1.2235904,1.8825620,-.18283339
-11.282235,.60344158,1.2476689,.60061116
-11.576625,3.3547215,.28528076,.48700452
-10.717897,2.6016262,1.8905732,.27226915
-4.8328529,1.6219392,1.5813568,-.87392593
-.87409546,1.0042510,2.0699177,-1.2567229
-2.0366277,1.2692870,1.8378552,-1.0586632
-3.5961233,1.0163491,2.2807608,-.94157376
-3.3796277,1.2196967,1.9843864,-1.6409445
-1.8429914,.76777501,2.1822389,-.97330442
-3.2915966,.97077186,2.0967526,-.47312563
-1.1649680,1.0249965,1.9950396,-1.1165434
-4.8035988,1.4470026,1.6261582,-1.0366617
-4.1367170,.96974369,2.2733490,-.41355781
-3.3333470,1.2342008,1.7474388,-1.0050589
-1.9147069,.96910816,2.1974616,-1.0281222
-1.9579610,1.2843492,1.9552083,-1.2262757
-2.6847816,1.3946771,1.7785995,-.94424870
-1.5264418,.81403898,2.1887837,-1.2340885
-4.0413955,.71870475,2.2031413,-1.5744758
-2.1347222,1.0864464,1.9540921,-1.5652129
-1.7711275,1.0723435,2.0346309,-1.6049675
-1.0283698,1.0659540,2.0634975,-1.1788173
-1.3138745,.99568525,1.9885484,-1.1563618
-2.7293915,.77256230,2.1295784,-.67165375
-3.7564280,.80879440,2.2027941,-.40389303
-3.8363662,1.5460824,1.7065005,-.60141439
-1.5449050,1.0981835,1.9298421,-1.3278040
-4.0683500,.76565732,2.0402458,-.41096937
-2.8115167,.60889374,2.2555421,-1.0834769
-5.0873070,1.1894862,2.2321611,-.29292085
-5.5231581,.32931440,2.4014982,-.19445368
-1.2553585,1.0556148,2.0560314,-1.4837575
-2.1072130,.98137252,1.9639983,-1.3733974
-1.8815956,1.0295504,2.1148671,-1.5114267
-2.8392991,.78602811,2.2396498,-.64119867
-2.9086120,.81965797,2.2733769,-1.3549702
-3.2856218,.94621149,2.2698793,-.63957649
-4.0708195,1.0433340,1.7820197,-.61449617
-6.5827302,1.4999588,2.0520369,.33988387E-01
-4.0113039,1.4679990,1.8557506,-.44415702
-3.6690057,1.1951053,2.1771926,-.94017768
-2.7862907,.85439034,2.1650343,-.60652743
-2.7535900,.96621931,1.9716498,-.65165793
-2.2703175,1.2739849,1.8138500,-1.0129323
-1.8951566,.87317857,2.0245201,-1.0954348
-2.8899910,1.0157008,1.9528088,-1.5566510
-2.5046678,1.2969578,1.8605298,-1.3806345
-1.9111870,.77699805,2.2432151,-1.1677790
-1.3838016,1.1032691,2.0527991,-1.0073143
-1.1421815,1.0454184,1.9884775,-1.3583450
-5.0041921,1.2712755,2.2265907,-.52149103
-3.2087021,1.2672379,2.0793441,-.70369677
-2.6690539,1.1973448,1.8077939,-.84623101
-3.4295051,1.2184760,1.9757646,-.46852575
-3.4285527,.69299555,2.1323423,-.56032837
-3.1162868,1.0093157,1.8683975,-.73223745
-1.9528359,1.0068813,2.1804462,-1.1957470
-2.2502219,1.3039583,1.8766613,-.83689185
-2.2592735,1.1675326,1.8689340,-.82724858
-1.4871306,1.2197202,1.9656411,-1.2819965
-7.2408301,1.9304485,1.8512613,-.51132061
