ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,AverageLogX,AverageLogY,LogStandardDeviationX,LogStandardDeviationY,FirsherTrans(rho),cutoffSlope,cutoffIntercept
1,0,.18800237,.0000000,1,1,-1926.4599,-.46568907E-02,.52163423E-02,.15082687E-02,-.70980124E-02,.70662072,1.5012434,-.38371539E-02
1,0,.18870306,.0000000,1,2,-1926.8535,-.10322265E-01,.10815231E-01,-.46520737E-02,-.11079416E-01,.69836154,1.5017319,-.38474941E-02
1,0,.18959791,.0000000,1,1,-1926.9255,-.11840281E-01,.15922655E-01,-.84220073E-02,-.13956584E-01,.69228579,1.5007239,-.32974470E-02
1,0,.19057430,.0000000,1,1,-1926.5875,-.78564268E-02,.69849045E-02,-.15893378E-02,-.12379815E-01,.70024900,1.5026297,-.33928975E-02
1,0,.19092079,.0000000,1,1,-1927.3246,-.90724030E-02,.11713767E-01,-.53623425E-02,-.11137164E-01,.70064552,1.5002224,-.46670889E-02
1,0,.19189324,.0000000,1,1,-1926.6185,-.59809900E-02,.65738160E-02,-.48804383E-02,-.10709808E-01,.70860319,1.4994964,-.39381766E-02
1,0,.19276684,.0000000,1,1,-1926.7023,-.97241508E-02,.10974917E-01,-.67556856E-02,-.10802387E-01,.70064756,1.5001263,-.38054914E-02
1,0,.19373474,.0000000,1,1,-1926.5232,-.15679900E-01,.15373834E-01,-.92914068E-02,-.12187164E-01,.69064322,1.5025537,-.26905250E-02
1,0,.19470033,.0000000,1,1,-1925.7180,-.14001168E-01,.16029563E-01,-.96810753E-02,-.13305338E-01,.69025264,1.5016696,-.13621334E-02
1,0,.19602541,.21569939,1,7,-1924.8362,-.70549808E-02,.86230312E-02,-.45168228E-02,-.12482753E-01,.69966515,1.5017224,-.82263430E-03
1,0,.19697911,.0000000,1,1,-1924.6284,-.39914702E-02,.16366037E-03,.26948951E-02,-.19506258E-02,.70946630,1.5011301,-.15736626E-02
1,0,.19746412,.0000000,1,4,-1924.3898,-.35883371E-02,-.14534307E-02,.49465810E-02,-.19437204E-02,.70663898,1.5026084,-.10660339E-02
1,0,.19841051,.0000000,1,1,-1924.3619,-.20790780E-02,-.53103157E-02,.81171358E-02,.92263787E-03,.71237183,1.5022647,-.11704783E-02
1,0,.19865271,.0000000,1,4,-1923.8998,-.20569825E-02,-.46807856E-02,.63312059E-02,-.59174992E-03,.71298455,1.5013405,-.45798238E-03
1,0,.19911481,.0000000,1,1,-1924.4227,-.62796802E-02,.60453254E-02,-.46152400E-03,-.93897811E-02,.70483927,1.5015320,-.53772125E-03
1,0,.20017230,.0000000,1,3,-1924.8514,-.29599172E-02,.61471035E-02,.20850416E-03,-.16865754E-01,.71298101,1.5004507,-.38787736E-03
1,0,.20054487,.0000000,1,3,-1924.9342,.96829646E-02,-.14405507E-01,.13189934E-01,-.37899786E-02,.73443477,1.4984970,-.28293816E-03
1,0,.20052175,.0000000,1,3,-1925.4760,.13020583E-01,-.17324875E-01,.14876208E-01,-.39573159E-03,.74040635,1.4968306,-.79919356E-03
