SampleLogFunc,AverageLogX,AverageLogY,LogStandardDeviationX,LogStandardDeviationY,FirsherTrans(rho),cutoffSlope,cutoffIntercept
-1929.3741,.10116693,.13914571,.95772781E-01,.26289829E-01,.81299405,1.5011201,-.15457008E-02
-1927.6999,.24408951,.81887557E-01,.87185711E-01,.25650475E-01,.67050551,1.5002274,-.65970032E-03
-1932.0626,.54957998,.62048830E-01,.13284234,.25790354E-01,.59058687,1.4978639,-.34512038E-03
-1930.8001,.39549666,.10082324,.12291144,.53509156E-01,.72118804,1.4976685,-.22502287E-02
-1928.7436,.44121703,.46825282E-01,.16729684,.11573756E-01,.64488008,1.4993304,-.17510687E-03
-1927.2130,-.54182417E-01,.72366936E-01,-.27656931E-01,-.39096406E-02,.78254148,1.4966182,-.27288223E-02
-1927.0831,-.10566778,-.72163217E-01,-.32000853E-01,.77793996E-01,.73176363,1.4947842,-.18220314E-02
-1928.3035,-.18195558,.40548306E-01,-.41844448E-01,.18190012E-02,.79823037,1.4999828,-.29748768E-02
-1926.2791,-.95804249E-01,-.47682365E-02,-.36094197E-01,.36920443E-01,.71762806,1.4966517,-.28740006E-02
-1929.2718,-.97987969E-01,-.16438528,-.49195638E-01,.85652518E-01,.65483043,1.5022492,-.10911963E-02
-1927.2763,.40928734E-02,-.92237853E-01,-.38541138E-01,.67409743E-01,.65674240,1.4992732,-.11022336E-02
-1925.3836,-.10697035E-01,-.46389123E-01,-.20412396E-01,-.56999216E-02,.68382708,1.5033333,-.20082979E-02
-1925.3836,-.10697035E-01,-.46389123E-01,-.20412396E-01,-.56999216E-02,.68382708,1.5033333,-.20082979E-02
-1927.2859,-.95778999E-01,-.13929216E-01,-.50908443E-01,-.13460772E-02,.68870780,1.5015094,-.38300538E-02
-1928.2346,.10037257E-01,-.91908657E-02,-.64425240E-01,-.71825548E-02,.69927901,1.5016144,-.32015503E-03
-1930.7838,.60762077E-01,.27733730E-01,.20684736E-01,-.69862830E-02,.78925573,1.4983048,-.31149719E-02
-1926.8435,-.69972805E-01,-.89693868E-01,-.16170913E-01,.73282287E-01,.70817653,1.4953383,-.21706558E-02
-1929.1012,-.17220516,-.98699769E-01,-.17479213E-01,.47221215E-01,.76032019,1.5023439,-.15176457E-02
-1927.1259,.12149440E-01,.61765617E-02,.34578293E-01,.11666065E-01,.76401037,1.4984257,-.33174629E-02
-1928.1241,.29776412E-01,-.18918371,-.13924250E-01,.48465807E-01,.61506347,1.4984450,-.19562863E-02
-1927.9040,.14504891,.49726245E-01,.40274127E-01,.23208919E-01,.76896874,1.5019096,-.21078333E-02
-1928.3894,.40360468,-.23516469E-01,.10419242,.42352268E-02,.59346695,1.4996545,-.27539202E-02
-1928.0076,.28546986,-.12494645,.82870712E-01,.77497187E-01,.59193007,1.4989445,-.47496981E-03
-1928.2495,.21260833,-.87583590E-01,.71708976E-01,.53962735E-01,.61529116,1.5023469,-.37809961E-02
-1925.4589,.59223468E-01,-.73520928E-01,.13316652E-01,-.95769902E-03,.67275539,1.5006082,-.38403774E-03
-1925.6095,-.14546467,-.44258769E-02,-.72262925E-01,.88247012E-02,.73414964,1.4947507,-.14600259E-02
-1924.1304,.97825534E-01,-.41119060E-01,.10865149E-02,.18559481E-01,.65398327,1.4956907,-.72683031E-03
-1924.1304,.97825534E-01,-.41119060E-01,.10865149E-02,.18559481E-01,.65398327,1.4956907,-.72683031E-03
-1924.1304,.97825534E-01,-.41119060E-01,.10865149E-02,.18559481E-01,.65398327,1.4956907,-.72683031E-03
-1926.0672,.74826220E-01,-.64063970E-01,.30410349E-02,.16640753E-01,.60166564,1.5009800,-.17014357E-02
-1925.2511,.13315104,.89488692E-02,.41570047E-01,-.11789788E-01,.66233591,1.4961434,-.71426142E-03
-1925.1582,.58993162E-01,-.41442347E-01,.17239657E-01,.23024267E-01,.70117662,1.5035394,-.24330412E-02
-1926.1991,.55595651E-01,.26660036E-02,.46776690E-01,.44590695E-01,.76202521,1.4970287,-.24917253E-02
-1926.0978,-.25371330E-01,.46982395E-01,-.21003149E-02,.23964935E-01,.82446890,1.5014292,-.49793682E-03
-1930.6963,.22598880E-02,-.16840502,-.36207515E-01,.90113717E-01,.61523823,1.4949259,-.31728148E-02
-1927.1012,-.84452110E-01,-.14982739,-.65032842E-01,.37797151E-01,.61345035,1.4971487,-.11122673E-02
